Uuid,Same as mappings
1065AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,OpenMRS:TRUE
1066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,OpenMRS:FALSE
