UUID,Source,Code,Name,Description
13efe0d5-4b93-43d2-8cf7-73ee4b800916,OpenMRS,TRUE,TRUE,True value in OpenMRS core
0b76f41a-5a2a-4139-857e-4c95682e7814,OpenMRS,FALSE,FALSE,False value in OpenMRS core
